#nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en,nii_code,mext_code,name_ja,name_en
1,A,大区分A,Broad Section A,74,10,中区分10:心理学およびその関連分野,Medium-sized Section 10:Psychology and related fields,76,10020,小区分10020:教育心理学関連,Basic Section 10020:Educational psychology-related
1,A,大区分A,Broad Section A,74,10,中区分10:心理学およびその関連分野,Medium-sized Section 10:Psychology and related fields,77,10030,小区分10030:臨床心理学関連,Basic Section 10030:Clinical psychology-related
1,A,大区分A,Broad Section A,74,10,中区分10:心理学およびその関連分野,Medium-sized Section 10:Psychology and related fields,78,10040,小区分10040:実験心理学関連,Basic Section 10040:Experimental psychology-related
1,A,大区分A,Broad Section A,74,10,中区分10:心理学およびその関連分野,Medium-sized Section 10:Psychology and related fields,79,90030,小区分90030:認知科学関連,Basic Section 90030:Cognitive science-related
80,B,大区分B,Broad Section B,81,11,中区分11:代数学、幾何学およびその関連分野,"Medium-sized Section 11:Algebra, geometry, and related fields",82,11010,小区分11010:代数学関連,Basic Section 11010:Algebra-related
80,B,大区分B,Broad Section B,81,11,中区分11:代数学、幾何学およびその関連分野,"Medium-sized Section 11:Algebra, geometry, and related fields",83,11020,小区分11020:幾何学関連,Basic Section 11020:Geometry-related
80,B,大区分B,Broad Section B,84,12,中区分12:解析学、応用数学およびその関連分野,"Medium-sized Section 12:Analysis, applied mathematics, and related fields",85,12010,小区分12010:基礎解析学関連,Basic Section 12010:Basic analysis-related
80,B,大区分B,Broad Section B,84,12,中区分12:解析学、応用数学およびその関連分野,"Medium-sized Section 12:Analysis, applied mathematics, and related fields",86,12020,小区分12020:数理解析学関連,Basic Section 12020:Mathematical analysis-related
80,B,大区分B,Broad Section B,84,12,中区分12:解析学、応用数学およびその関連分野,"Medium-sized Section 12:Analysis, applied mathematics, and related fields",87,12030,小区分12030:数学基礎関連,Basic Section 12030:Basic mathematics-related
80,B,大区分B,Broad Section B,84,12,中区分12:解析学、応用数学およびその関連分野,"Medium-sized Section 12:Analysis, applied mathematics, and related fields",88,12040,小区分12040:応用数学および統計数学関連,Basic Section 12040:Applied mathematics and statistics-related
