Rank	Organisms	Nucleotides	Entries
526	Mycobacterium abscessus	1020820048	23656
527	Saxicola maurus maurus	1020368202	2821
528	Stenotrophomonas maltophilia	1016815729	40568
529	Dendrobium catenatum	1013982813	186971
530	Cyprinodon nevadensis pectoralis	1011865833	96518
531	Ligia exotica	1006384830	1774880
532	Parus major	1005698544	30394
533	Phylloscopus trochiloides viridanus	1003390871	158656
534	Esox lucius	1001697736	74874
535	Phylloscopus plumbeitarsus	997452122	308524
536	Ipomoea batatas	995870293	243603
537	Orbicella faveolata	994239700	52941
538	Mizuhopecten yessoensis	993993324	92257
539	Phalaenopsis equestris	991756799	200299
540	Acanthochromis polyacanthus	991719331	30757
541	Glycine soja	989306083	329204
542	Tympanuchus cupido pinnatus	983996103	12636
543	Carnegiea gigantea	980496474	57439
544	Ophiothrix spiculata	977602685	280062
545	Phylloscopus trochiloides trochiloides	975916443	504257
546	Dicentrarchus labrax	972063185	286360
547	Notospermus geniculatus	970195140	107417
548	Drosophila simulans	967585731	521261
549	Toxocara canis	961133289	68215
550	Ananas comosus	956859894	91995
551	Brassica juncea var. tumida	955171277	9965
552	Heliconius timareta	951981401	909636
553	Latrodectus hesperus	951894778	763978
554	Channa punctata	950774984	352714
555	hydrothermal vent metagenome	950718598	141085
556	Patiriella regularis	949468518	3006621
557	Neolamprologus brichardi	943091308	545783
558	Sesamum indicum	941584759	306465
559	Maccullochella peelii	938506261	340076
560	Labrus bergylta	932639363	95311
561	Anopheles gambiae	930706589	384136
562	Bacillus anthracis	929626329	13279
563	Biomphalaria glabrata	928198205	464488
564	Mesobuthus martensii	925783116	92754
565	Panicum virgatum	924723793	1221057
566	Gadus morhua	921848961	381438
567	Lymnaea stagnalis	919685549	457214
568	Vigna radiata var. radiata	918657786	5062
569	Radix auricularia	909952653	5143
570	Eucalyptus grandis	905676916	372730
571	Patiria miniata	905243458	318467
572	sponge metagenome	902651643	234511
573	Cyprinodon variegatus	902168289	119440
574	Ciona intestinalis	902135662	1256197
575	Diuraphis noxia	891097771	484107
576	Boleophthalmus pectinirostris	890802109	109838
577	Hermetia illucens	890703751	319528
578	Manihot esculenta	888511952	366020
579	Pinctada martensii	886943644	94717
580	Stomoxys calcitrans	881532447	179160
581	Amphiprion ocellaris	880869064	6615
582	Phoenix dactylifera	880132515	293745
583	Staphylococcus epidermidis	878185704	47566
584	Solanum commersonii	874645301	350689
585	Fraxinus excelsior	873557868	101866
586	Lepisosteus oculatus	869624666	45454
587	Phytophthora ramorum	866716830	113087
588	Poecilia reticulata	862901907	317217
589	Lethenteron camtschaticum	861455852	189217
590	Branchiostoma floridae	857943150	659114
591	Calephelis virginiensis	855081797	67159
592	Stenocereus thurberi	853717980	159953
593	Castanea mollissima	852642672	292334
594	Neisseria gonorrhoeae	851683140	57036
595	Oryza rufipogon	847986190	236291
596	Amphilophus citrinellus	846491621	8627
597	Cucumis sativus	842080207	158039
598	groundwater metagenome	842040925	308232
599	Caligus rogercresseyi	841256439	628839
600	Morone saxatilis	840920423	237509
601	Syzygium luehmannii	835255567	866602
602	Echinostoma caproni	834586601	86103
603	Leptinotarsa decemlineata	834348472	256686
604	Lucilia cuprina	829265235	106398
605	Physcomitrella patens	827181344	584609
606	Ipomoea nil	826661437	139594
607	Anoplopoma fimbria	823942410	326015
608	Ipomoea trifida	823606905	542863
609	Fragaria x ananassa	819185683	947152
610	Trichinella pseudospiralis	817461577	294174
611	Bactrocera oleae	816893522	117453
612	Brachypodium distachyon	813312914	562834
613	Nematostella vectensis	812874414	708351
614	Calephelis nemesis	808524533	40359
615	Symbiodinium microadriaticum	808339230	9835
616	Channa argus	807532031	603825
617	microbial mat metagenome	806996492	328921
618	Trifolium subterraneum	806959853	1034489
619	Heliconius ethilla	799533723	562902
620	Pogonomyrmex californicus	799269887	311767
621	Gasterosteus aculeatus	798000717	310319
622	Lophocereus schottii	797935979	158714
